"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.000202056233333333,0.0001881113,0.000205313,0.0001937075,30,30,-1.39449333333333e-05,-0.103170290357232,0.23984999119108,0.383759985905727,"PWY-841","superpathway of purine nucleotides de novo biosynthesis I","Not significant",0.620060293148326,0.415940310492401
"GLUTORN-PWY: L-ornithine biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.000248643866666667,0.0002328374,0.00024445,0.000235507,30,30,-1.58064666666666e-05,-0.0947579922251155,0.23984999119108,0.383759985905727,"GLUTORN-PWY","L-ornithine biosynthesis I","Not significant",0.620060293148326,0.415940310492401
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.00014709025,0.000137614693333333,0.000148612,0.0001409315,30,30,-9.47555666666667e-06,-0.0960670349402014,0.245813802458941,0.39124291071999,"PWY-7228","superpathway of guanosine nucleotides de novo biosynthesis I","Not significant",0.609393735105135,0.407553518744109
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)","ITM","OTM2","OTM2 vs ITM",6.700694e-06,4.87427816666667e-06,5.328325e-06,4.221285e-06,27,25,-1.82641583333333e-06,-0.459113872212133,0.248281594591562,0.393112524769973,"PHOSLIPSYN-PWY","superpathway of phospholipid biosynthesis I (bacteria)","Not significant",0.60505547401609,0.405483119110886
"PANTO-PWY: phosphopantothenate biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.000108296183333333,0.000101322996666667,0.000104167,0.0001000119,30,30,-6.97318666666666e-06,-0.0960206564125263,0.277189189773048,0.434358317994879,"PANTO-PWY","phosphopantothenate biosynthesis I","Not significant",0.557223710977475,0.362151857298947
"THRESYN-PWY: superpathway of L-threonine biosynthesis","ITM","OTM2","OTM2 vs ITM",0.000189672833333333,0.000197238133333333,0.0001845135,0.000198017,30,30,7.56530000000001e-06,0.0564254174862729,0.277189189773048,0.434358317994879,"THRESYN-PWY","superpathway of L-threonine biosynthesis","Not significant",0.557223710977475,0.362151857298947
"PWY0-1261: anhydromuropeptides recycling I","ITM","OTM2","OTM2 vs ITM",5.2932432e-06,4.67444426666667e-06,5.14096e-06,4.176395e-06,28,26,-6.18798933333333e-07,-0.179353475989976,0.303941568658501,0.467018952919141,"PWY0-1261","anhydromuropeptides recycling I","Not significant",0.517209899444782,0.330665494206532
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate","ITM","OTM2","OTM2 vs ITM",0.000176012933333333,0.000160058666666667,0.000168285,0.0001572705,30,30,-1.59542666666667e-05,-0.137080563156133,0.304176818019704,0.467018952919141,"PWY-6163","chorismate biosynthesis from 3-dehydroquinate","Not significant",0.516873887553754,0.330665494206532
"PWY-6703: preQ0 biosynthesis","ITM","OTM2","OTM2 vs ITM",6.100211e-05,6.518896e-05,6.010565e-05,6.51259e-05,30,30,4.18685e-06,0.0957683624481462,0.304176818019704,0.467018952919141,"PWY-6703","preQ0 biosynthesis","Not significant",0.516873887553754,0.330665494206532
"PWY-7208: superpathway of pyrimidine nucleobases salvage","ITM","OTM2","OTM2 vs ITM",0.00013214917,0.00013837539,0.000129251,0.0001431995,30,30,6.22622000000001e-06,0.0664199702552424,0.304176818019704,0.467018952919141,"PWY-7208","superpathway of pyrimidine nucleobases salvage","Not significant",0.516873887553754,0.330665494206532
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis","ITM","OTM2","OTM2 vs ITM",8.99148766666667e-06,7.74928666666667e-06,7.95545e-06,7.19899e-06,30,30,-1.242201e-06,-0.214493747137388,0.311187643410275,0.475382128626752,"PWY-1269","CMP-3-deoxy-D-manno-octulosonate biosynthesis","Not significant",0.506977656236575,0.322957149037528
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","ITM","OTM2","OTM2 vs ITM",1.3798407e-06,1.1715433e-06,1.078137e-06,8.532975e-07,19,16,-2.082974e-07,-0.236072855125077,0.329720313752314,0.500929832861928,"PWY0-845","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Not significant",0.48185429556607,0.300223103144779
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II","ITM","OTM2","OTM2 vs ITM",0.000129189766666667,0.000121402116666667,0.000131801,0.000124639,30,30,-7.78764999999999e-06,-0.089698149234167,0.332854691572728,0.500929832861928,"PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II","Not significant",0.477745317306909,0.300223103144779
"TRNA-CHARGING-PWY: tRNA charging","ITM","OTM2","OTM2 vs ITM",0.0006144967,0.000622782433333333,0.0006144195,0.0006246295,30,30,8.28573333333331e-06,0.0193229851451573,0.332854691572728,0.500929832861928,"TRNA-CHARGING-PWY","tRNA charging","Not significant",0.477745317306909,0.300223103144779
"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)","ITM","OTM2","OTM2 vs ITM",5.04424133333333e-06,6.1793014e-06,5.1021e-06,5.4171e-06,30,30,1.13506006666667e-06,0.292801189495383,0.347827782975812,0.518331598160033,"NAGLIPASYN-PWY","lipid IVA biosynthesis (E. coli)","Not significant",0.458635731386833,0.285392315203978
"PWY-8073: lipid IVA biosynthesis (P. putida)","ITM","OTM2","OTM2 vs ITM",5.04424133333333e-06,6.1793014e-06,5.1021e-06,5.4171e-06,30,30,1.13506006666667e-06,0.292801189495383,0.347827782975812,0.518331598160033,"PWY-8073","lipid IVA biosynthesis (P. putida)","Not significant",0.458635731386833,0.285392315203978
"PWY0-781: aspartate superpathway","ITM","OTM2","OTM2 vs ITM",2.97247766666667e-06,2.49994366666667e-06,2.718465e-06,2.73692e-06,25,18,-4.72534e-07,-0.249761211049781,0.349951504010952,0.518952474240632,"PWY0-781","aspartate superpathway","Not significant",0.455992135648913,0.284872413095913
"PWY-6749: CMP-legionaminate biosynthesis I","ITM","OTM2","OTM2 vs ITM",4.97899566666667e-06,4.42230733333333e-06,4.72181e-06,4.29914e-06,30,27,-5.56688333333334e-07,-0.171051821977215,0.355445736817636,0.524541281517288,"PWY-6749","CMP-legionaminate biosynthesis I","Not significant",0.449226690291221,0.28022032705162
"""P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I""","ITM","OTM2","OTM2 vs ITM",2.82123866666667e-06,2.37389733333333e-06,2.575635e-06,2.60067e-06,25,18,-4.47341333333333e-07,-0.249061539511546,0.357714693131443,0.525339452714776,"""P4-PWY","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I""","Not significant",0.446463220838302,0.279559982686466
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation","ITM","OTM2","OTM2 vs ITM",9.06883566666667e-05,7.05397433333333e-05,9.80275e-05,9.192865e-05,26,19,-2.01486133333333e-05,-0.362480556566779,0.359457319851805,0.525360698244946,"GLUCOSE1PMETAB-PWY","glucose and glucose-1-phosphate degradation","Not significant",0.44435266815516,0.279542419509168
"PWY-7254: TCA cycle VII (acetate-producers)","ITM","OTM2","OTM2 vs ITM",2.13415583333333e-06,1.32381516666667e-06,9.273275e-07,0,16,14,-8.10340666666667e-07,-0.688922441799365,0.363484326930846,0.526186835176081,"PWY-7254","TCA cycle VII (acetate-producers)","Not significant",0.439514310731204,0.278860021856369
"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis","ITM","OTM2","OTM2 vs ITM",2.365301e-06,2.5592542e-06,2.45905e-06,2.85887e-06,27,26,1.939532e-07,0.113695041480534,0.362848681569536,0.526186835176081,"PWY-6953","dTDP-3-acetamido-&alpha;-D-fucose biosynthesis","Not significant",0.440274450612246,0.278860021856369
"TCA: TCA cycle I (prokaryotic)","ITM","OTM2","OTM2 vs ITM",3.867959e-06,2.40551833333333e-06,1.710335e-06,0,16,14,-1.46244066666667e-06,-0.685202032680132,0.371888492558549,0.535801430036961,"TCA","TCA cycle I (prokaryotic)","Not significant",0.429587259919177,0.270996131608116
"PWY-5484: glycolysis II (from fructose 6-phosphate)","ITM","OTM2","OTM2 vs ITM",0.000223653866666667,0.000208712783333333,0.000227285,0.0002087285,30,30,-1.49410833333333e-05,-0.0997486885555156,0.395267011333117,0.566797978515412,"PWY-5484","glycolysis II (from fructose 6-phosphate)","Not significant",0.403109430012778,0.246571707332776
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","ITM","OTM2","OTM2 vs ITM",0.00012303877,0.000116516516666667,0.000120502,0.000115965,30,30,-6.52225333333333e-06,-0.0785784434689981,0.4119108371476,0.587891523440705,"PWY-7328","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","Not significant",0.38519678184429,0.230702801674274
"PWY-6167: flavin biosynthesis II (archaea)","ITM","OTM2","OTM2 vs ITM",4.30081733333333e-05,3.97761116666667e-05,4.48731e-05,4.19062e-05,30,29,-3.23206166666667e-06,-0.112708333377482,0.428963388860433,0.609368552399867,"PWY-6167","flavin biosynthesis II (archaea)","Not significant",0.367579772370958,0.215119962111395
"PWY-621: sucrose degradation III (sucrose invertase)","ITM","OTM2","OTM2 vs ITM",1.6527576e-05,1.44662406666667e-05,1.5265e-05,1.44528e-05,30,30,-2.06133533333333e-06,-0.192183846665326,0.446419435959973,0.631216318752705,"PWY-621","sucrose degradation III (sucrose invertase)","Not significant",0.350256905588364,0.199821781895215
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","ITM","OTM2","OTM2 vs ITM",3.111359e-06,2.6548509e-06,2.53954e-06,1.99079e-06,19,18,-4.565081e-07,-0.228906055382923,0.451258818005852,0.635105003119347,"PWY-7282","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","Not significant",0.345574298496002,0.197154466038179
"PWY-6168: flavin biosynthesis III (fungi)","ITM","OTM2","OTM2 vs ITM",4.07380833333333e-05,3.76318073333333e-05,4.203145e-05,3.84124e-05,30,29,-3.106276e-06,-0.114425233888536,0.47334655725845,0.663121444269902,"PWY-6168","flavin biosynthesis III (fungi)","Not significant",0.32482077724333,0.178406927483106
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)","ITM","OTM2","OTM2 vs ITM",3.0920265e-06,2.38871446666667e-06,2.3701e-06,2.18966e-06,29,29,-7.03312033333333e-07,-0.372304534063218,0.496445565278655,0.692291063507849,"PWY-5136","fatty acid &beta;-oxidation II (plant peroxisome)","Not significant",0.304128364480071,0.159711274475922
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)","ITM","OTM2","OTM2 vs ITM",0.0001283598,0.000124339983333333,0.000127703,0.0001269305,30,30,-4.01981666666668e-06,-0.0459031198979051,0.501143667603293,0.695651483796352,"PANTOSYN-PWY","superpathway of coenzyme A biosynthesis I (bacteria)","Not significant",0.300037752969207,0.157608284200571
"PWY-7392: taxadiene biosynthesis (engineered)","ITM","OTM2","OTM2 vs ITM",1.8976671e-05,1.676728e-05,1.888365e-05,1.735855e-05,30,30,-2.209391e-06,-0.178577253817229,0.510597936605645,0.705553512400527,"PWY-7392","taxadiene biosynthesis (engineered)","Not significant",0.291920944570141,0.151470041783594
"PWY-7560: methylerythritol phosphate pathway II","ITM","OTM2","OTM2 vs ITM",0.00015131882,0.00014144368,0.0001523295,0.0001489665,30,30,-9.87514000000002e-06,-0.0973636491557106,0.529782490626018,0.725467915091484,"PWY-7560","methylerythritol phosphate pathway II","Not significant",0.2759023992856,0.139381790127485
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I","ITM","OTM2","OTM2 vs ITM",0.000120278933333333,0.000118035693333333,0.0001167445,0.00011295,30,30,-2.24324e-06,-0.0271607675978219,0.529782490626018,0.725467915091484,"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch) I","Not significant",0.2759023992856,0.139381790127485
"PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)","ITM","OTM2","OTM2 vs ITM",3.13334333333333e-06,1.31173e-07,0,0,2,1,-3.00217033333333e-06,-4.5771067821112,0.544026705656552,0.739938823600514,"PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)","Not significant",0.264379780752919,0.130804185229838
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis","ITM","OTM2","OTM2 vs ITM",6.47762e-06,8.25797833333333e-06,5.935485e-06,7.69192e-06,30,30,1.78035833333333e-06,0.350319994630858,0.559230535791907,0.739938823600514,"PWY-7688","dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis","Not significant",0.252409122734732,0.130804185229838
"PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)","ITM","OTM2","OTM2 vs ITM",1.95450966666667e-06,2.09853573333333e-06,1.93266e-06,2.360875e-06,26,23,1.44026066666667e-07,0.102571243606575,0.57812999857689,0.739938823600514,"PROPFERM-PWY","superpathway of L-alanine fermentation (Stickland reaction)","Not significant",0.237974494941799,0.130804185229838
"PWY-8188: L-alanine degradation VI (reductive Stickland reaction)","ITM","OTM2","OTM2 vs ITM",1.95450966666667e-06,2.09853573333333e-06,1.93266e-06,2.360875e-06,26,23,1.44026066666667e-07,0.102571243606575,0.57812999857689,0.739938823600514,"PWY-8188","L-alanine degradation VI (reductive Stickland reaction)","Not significant",0.237974494941799,0.130804185229838
"PWY-8189: L-alanine degradation V (oxidative Stickland reaction)","ITM","OTM2","OTM2 vs ITM",1.95450966666667e-06,2.09853573333333e-06,1.93266e-06,2.360875e-06,26,23,1.44026066666667e-07,0.102571243606575,0.57812999857689,0.739938823600514,"PWY-8189","L-alanine degradation V (oxidative Stickland reaction)","Not significant",0.237974494941799,0.130804185229838
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","ITM","OTM2","OTM2 vs ITM",0.000226500466666667,0.000212118233333333,0.000208515,0.0002118515,30,30,-1.43822333333333e-05,-0.0946453416376083,0.579294210581981,0.739938823600514,"PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","Not significant",0.23710081178208,0.130804185229838
"PWY-6270: isoprene biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.000163943733333333,0.000153778856666667,0.0001645135,0.0001615635,30,30,-1.01648766666666e-05,-0.0923435401427376,0.56922016374153,0.739938823600514,"PWY-6270","isoprene biosynthesis I","Not significant",0.244719724106767,0.130804185229838
"PWY-6823: molybdopterin biosynthesis","ITM","OTM2","OTM2 vs ITM",6.97815133333333e-05,7.41691533333333e-05,7.07892e-05,6.91049e-05,30,30,4.38764e-06,0.08797429271962,0.56922016374153,0.739938823600514,"PWY-6823","molybdopterin biosynthesis","Not significant",0.244719724106767,0.130804185229838
"PWY-7977: L-methionine biosynthesis IV","ITM","OTM2","OTM2 vs ITM",7.505761e-05,7.961694e-05,7.26495e-05,7.658515e-05,30,30,4.55933e-06,0.0850769614750416,0.56922016374153,0.739938823600514,"PWY-7977","L-methionine biosynthesis IV","Not significant",0.244719724106767,0.130804185229838
"PWY-6350: archaetidylinositol biosynthesis","ITM","OTM2","OTM2 vs ITM",2.7349681e-05,2.60509452666667e-05,2.814105e-05,2.54231e-05,30,30,-1.29873573333333e-06,-0.0701880208035617,0.559230535791907,0.739938823600514,"PWY-6350","archaetidylinositol biosynthesis","Not significant",0.252409122734732,0.130804185229838
"PWY-5097: L-lysine biosynthesis VI","ITM","OTM2","OTM2 vs ITM",0.000310875433333333,0.000300772333333333,0.0002966295,0.0002985805,30,30,-1.01031000000001e-05,-0.0476647316239617,0.579294210581981,0.739938823600514,"PWY-5097","L-lysine biosynthesis VI","Not significant",0.23710081178208,0.130804185229838
"PWY-7238: sucrose biosynthesis II","ITM","OTM2","OTM2 vs ITM",0.000514347866666667,0.000499709133333333,0.000492584,0.000494296,30,30,-1.46387333333334e-05,-0.0416558261170179,0.579294210581981,0.739938823600514,"PWY-7238","sucrose biosynthesis II","Not significant",0.23710081178208,0.130804185229838
"PWY-5030: L-histidine degradation III","ITM","OTM2","OTM2 vs ITM",4.66224533333333e-05,4.53153033333333e-05,4.66244e-05,4.510865e-05,30,30,-1.30715e-06,-0.0410264916812453,0.559230535791907,0.739938823600514,"PWY-5030","L-histidine degradation III","Not significant",0.252409122734732,0.130804185229838
"PWY-5667: CDP-diacylglycerol biosynthesis I","ITM","OTM2","OTM2 vs ITM",4.24758833333333e-05,4.365206e-05,3.968865e-05,3.652835e-05,30,30,1.17617666666666e-06,0.0394056965105568,0.559230535791907,0.739938823600514,"PWY-5667","CDP-diacylglycerol biosynthesis I","Not significant",0.252409122734732,0.130804185229838
"PWY0-1319: CDP-diacylglycerol biosynthesis II","ITM","OTM2","OTM2 vs ITM",4.24758833333333e-05,4.365206e-05,3.968865e-05,3.652835e-05,30,30,1.17617666666666e-06,0.0394056965105568,0.559230535791907,0.739938823600514,"PWY0-1319","CDP-diacylglycerol biosynthesis II","Not significant",0.252409122734732,0.130804185229838
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)","ITM","OTM2","OTM2 vs ITM",0.000414059866666667,0.000408644133333333,0.0004024725,0.000400824,30,30,-5.41573333333339e-06,-0.0189943468991514,0.559230535791907,0.739938823600514,"ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)","Not significant",0.252409122734732,0.130804185229838
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)","ITM","OTM2","OTM2 vs ITM",0.000307268833333333,0.000295850466666667,0.000314648,0.0002997855,30,30,-1.14183666666667e-05,-0.0546332510880572,0.59968948451237,0.75645478544299,"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","Not significant",0.222073566400325,0.12121702536644
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)","ITM","OTM2","OTM2 vs ITM",0.0001623857,0.000157489,0.000161632,0.0001561995,30,30,-4.8967e-06,-0.0441734985268557,0.59968948451237,0.75645478544299,"COA-PWY-1","superpathway of coenzyme A biosynthesis III (mammals)","Not significant",0.222073566400325,0.12121702536644
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II","ITM","OTM2","OTM2 vs ITM",0.000169241866666667,0.000171129833333333,0.0001663415,0.00016874,30,30,1.88796666666667e-06,0.0160047764319225,0.59968948451237,0.75645478544299,"PWY-8178","pentose phosphate pathway (non-oxidative branch) II","Not significant",0.222073566400325,0.12121702536644
"REDCITCYC: TCA cycle VI (Helicobacter)","ITM","OTM2","OTM2 vs ITM",4.08673966666667e-06,3.79477723333333e-06,4.299035e-06,3.85908e-06,28,27,-2.91962433333333e-07,-0.106932430904619,0.609908228260363,0.766165708227894,"REDCITCYC","TCA cycle VI (Helicobacter)","Not significant",0.214735507544142,0.115677289915819
"1CMET2-PWY: folate transformations III (E. coli)","ITM","OTM2","OTM2 vs ITM",9.86387166666667e-05,0.000103937473333333,9.842065e-05,9.979705e-05,30,30,5.29875666666666e-06,0.0754898839294829,0.63087629216172,0.789244414885444,"1CMET2-PWY","folate transformations III (E. coli)","Not significant",0.200055792734771,0.102788482724329
"PWY-8113: 3PG-factor 420 biosynthesis","ITM","OTM2","OTM2 vs ITM",4.39168166666667e-05,4.20475971e-05,4.66687e-05,4.39758e-05,30,30,-1.86921956666667e-06,-0.0627499806569774,0.641423522520332,0.795888778964004,"PWY-8113","3PG-factor 420 biosynthesis","Not significant",0.192855117507888,0.0991476182636667
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)","ITM","OTM2","OTM2 vs ITM",0.0001536898,0.000150378753333333,0.0001526835,0.0001495335,30,30,-3.31104666666666e-06,-0.0314206531831237,0.641423522520332,0.795888778964004,"PWY-7851","coenzyme A biosynthesis II (eukaryotic)","Not significant",0.192855117507888,0.0991476182636667
"PWY-8131: 5'-deoxyadenosine degradation II","ITM","OTM2","OTM2 vs ITM",2.4649428e-06,2.2849024e-06,2.167365e-06,1.82498e-06,28,26,-1.800404e-07,-0.109417015433821,0.651885482050756,0.799279279071747,"PWY-8131","5'-deoxyadenosine degradation II","Not significant",0.185828690896389,0.0973014457583179
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis","ITM","OTM2","OTM2 vs ITM",1.57270423333333e-05,1.670879e-05,1.47666e-05,1.719535e-05,30,30,9.81747666666669e-07,0.0873593431369547,0.652043622400636,0.799279279071747,"PWY-7315","dTDP-N-acetylthomosamine biosynthesis","Not significant",0.185723348540855,0.0973014457583179
"P41-PWY: pyruvate fermentation to acetate and (S)-lactate I","ITM","OTM2","OTM2 vs ITM",0.0001505462,0.0001521755,0.000146282,0.000152363,30,30,1.6293e-06,0.0155298029480622,0.652043622400636,0.799279279071747,"P41-PWY","pyruvate fermentation to acetate and (S)-lactate I","Not significant",0.185723348540855,0.0973014457583179
"METHANOGENESIS-PWY: methanogenesis from H2 and CO2","ITM","OTM2","OTM2 vs ITM",9.748366e-06,9.25449683333333e-06,1.0443875e-05,8.411195e-06,29,27,-4.93869166666667e-07,-0.0750050749945583,0.668063018695698,0.815627139291133,"METHANOGENESIS-PWY","methanogenesis from H2 and CO2","Not significant",0.175182568391359,0.0885083318783411
"PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)","ITM","OTM2","OTM2 vs ITM",0.000101375383333333,9.63964033333333e-05,0.000106215,0.0001017915,30,30,-4.97898000000001e-06,-0.072656072375701,0.673495052801603,0.815707155584412,"PWY-1861","formaldehyde assimilation II (assimilatory RuMP Cycle)","Not significant",0.171665590065503,0.0884657279377874
"PWY-6151: S-adenosyl-L-methionine salvage I","ITM","OTM2","OTM2 vs ITM",0.0002623862,0.000250721333333333,0.00025145,0.000253369,30,30,-1.16648666666666e-05,-0.0656070617559382,0.673495052801603,0.815707155584412,"PWY-6151","S-adenosyl-L-methionine salvage I","Not significant",0.171665590065503,0.0884657279377874
"PWY-6630: superpathway of L-tyrosine biosynthesis","ITM","OTM2","OTM2 vs ITM",3.18080733333333e-05,2.846208e-05,2.85444e-05,2.873025e-05,30,30,-3.34599333333334e-06,-0.160351357512746,0.68432258676245,0.825532009427717,"PWY-6630","superpathway of L-tyrosine biosynthesis","Not significant",0.164739125436378,0.0832660826091681
"PWY-5209: methyl-coenzyme M oxidation to CO2","ITM","OTM2","OTM2 vs ITM",6.077444e-05,6.19945526666667e-05,6.172855e-05,6.35939e-05,30,30,1.22011266666666e-06,0.028676712968574,0.69521539906691,0.835357633661425,"PWY-5209","methyl-coenzyme M oxidation to CO2","Not significant",0.157880616801453,0.0781275543685168
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation","ITM","OTM2","OTM2 vs ITM",9.132356e-05,9.31980266666667e-05,9.058115e-05,9.664485e-05,30,30,1.87446666666666e-06,0.0293122762585195,0.70617148828123,0.845181623769661,"PWY-7197","pyrimidine deoxyribonucleotide phosphorylation","Not significant",0.151089821086289,0.0730499540974732
"PWY-6349: CDP-archaeol biosynthesis","ITM","OTM2","OTM2 vs ITM",3.20344366666667e-05,3.1237893e-05,3.31622e-05,3.12239e-05,30,30,-7.96543666666662e-07,-0.0363263589548352,0.717188813606376,0.851661716157572,"PWY-6349","CDP-archaeol biosynthesis","Not significant",0.144366492990099,0.0697328746931946
"PWY-6859: all-trans-farnesol biosynthesis","ITM","OTM2","OTM2 vs ITM",1.22641216666667e-05,1.23656894666667e-05,1.14722e-05,1.24791e-05,30,30,1.015678e-07,0.011898670381411,0.717188813606376,0.851661716157572,"PWY-6859","all-trans-farnesol biosynthesis","Not significant",0.144366492990099,0.0697328746931946
"PWY-8112: factor 420 biosynthesis I (archaea)","ITM","OTM2","OTM2 vs ITM",4.49409233333333e-05,4.35977246666667e-05,4.86306e-05,4.52061e-05,30,30,-1.34319866666667e-06,-0.0437768230286832,0.728265295995547,0.858111046444365,"PWY-8112","factor 420 biosynthesis I (archaea)","Not significant",0.137710384974653,0.0664565073291299
"PWY-5973: cis-vaccenate biosynthesis","ITM","OTM2","OTM2 vs ITM",6.54072266666667e-05,6.71055866666667e-05,6.443505e-05,6.62293e-05,30,30,1.69835999999999e-06,0.0369827787019857,0.728265295995547,0.858111046444365,"PWY-5973","cis-vaccenate biosynthesis","Not significant",0.137710384974653,0.0664565073291299
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I","ITM","OTM2","OTM2 vs ITM",0.000145010796666667,0.00013973093,0.000148833,0.000147127,30,30,-5.27986666666667e-06,-0.0535088789773124,0.73939881931145,0.864527850271849,"SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I","Not significant",0.131121247253488,0.063221011615552
"HISDEG-PWY: L-histidine degradation I","ITM","OTM2","OTM2 vs ITM",8.92162066666667e-05,9.197008e-05,8.941915e-05,8.941965e-05,30,30,2.75387333333332e-06,0.043858738638206,0.73939881931145,0.864527850271849,"HISDEG-PWY","L-histidine degradation I","Not significant",0.131121247253488,0.063221011615552
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)","ITM","OTM2","OTM2 vs ITM",5.49948133333333e-05,5.2149778e-05,5.420765e-05,5.14273e-05,30,30,-2.84503533333334e-06,-0.0766343073423506,0.750587231522306,0.874247196868893,"PWY-5188","tetrapyrrole biosynthesis I (from glutamate)","Not significant",0.12459882778141,0.0583657515109377
"PWY-6803: phosphatidylcholine acyl editing","ITM","OTM2","OTM2 vs ITM",1.8673725e-06,1.1624685e-06,2.04057e-07,0,15,14,-7.04904e-07,-0.683771274219182,0.756192993977995,0.877414771638589,"PWY-6803","phosphatidylcholine acyl editing","Not significant",0.121367350632293,0.0567950583432848
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis","ITM","OTM2","OTM2 vs ITM",0.000163216066666667,0.00015723834,0.000165107,0.0001568875,30,30,-5.97772666666667e-06,-0.0538300086374619,0.773119942467523,0.890259327689875,"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","Not significant",0.111753124049447,0.0504834673105247
"PWY-5676: acetyl-CoA fermentation to butanoate II","ITM","OTM2","OTM2 vs ITM",1.37382986666667e-05,1.42440173333333e-05,1.41185e-05,1.379455e-05,30,30,5.05718666666668e-07,0.0521523698660455,0.773119942467523,0.890259327689875,"PWY-5676","acetyl-CoA fermentation to butanoate II","Not significant",0.111753124049447,0.0504834673105247
"THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)","ITM","OTM2","OTM2 vs ITM",4.52793633333333e-06,4.963976e-06,4.24562e-06,4.057075e-06,30,29,4.36039666666667e-07,0.132639668778324,0.795845542466455,0.905577804507713,"THISYNARA-PWY","superpathway of thiamine diphosphate biosynthesis III (eukaryotes)","Not significant",0.0991712118647521,0.0430742304777473
"PWY-5392: reductive TCA cycle II","ITM","OTM2","OTM2 vs ITM",1.0476698e-05,1.11418323333333e-05,1.08368e-05,1.03456e-05,30,30,6.65134333333333e-07,0.0888016027953848,0.807274950728915,0.905577804507713,"PWY-5392","reductive TCA cycle II","Not significant",0.0929785232120953,0.0430742304777473
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)","ITM","OTM2","OTM2 vs ITM",5.09018566666667e-05,5.296481e-05,5.004365e-05,5.012325e-05,30,30,2.06295333333333e-06,0.0573157559028214,0.795845542466455,0.905577804507713,"PWY-8187","L-arginine degradation XIII (reductive Stickland reaction)","Not significant",0.0991712118647521,0.0430742304777473
