"Pathway","Group_ref","Group_test","Comparison","Mean_ref","Mean_test","Median_ref","Median_test","Prevalence_ref","Prevalence_test","Mean_difference","Log2FC","P_value","FDR","Pathway_ID","Description","Direction","NegLog10P","NegLog10FDR"
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation","ITM","OTM1","OTM1 vs ITM",3.14589333333333e-05,3.51262866666667e-05,3.042025e-05,3.516125e-05,30,30,3.66735333333333e-06,0.159080838402918,0.0555456931343456,0.200778183823882,"PWY-6507","4-deoxy-L-threo-hex-4-enopyranuronate degradation","Not significant",1.2553496094594,0.697283478576988
"PWY-6749: CMP-legionaminate biosynthesis I","ITM","OTM1","OTM1 vs ITM",4.97899566666667e-06,3.80318966666667e-06,4.72181e-06,3.40179e-06,30,24,-1.175806e-06,-0.388635913237109,0.0593041872588946,0.202989732711927,"PWY-6749","CMP-legionaminate biosynthesis I","Not significant",1.22691464155595,0.692525928290342
"ARO-PWY: chorismate biosynthesis I","ITM","OTM1","OTM1 vs ITM",0.0001813357,0.000160790183333333,0.000171373,0.0001525595,30,30,-2.05455166666667e-05,-0.173483549412664,0.0594279151689524,0.202989732711927,"ARO-PWY","chorismate biosynthesis I","Not significant",1.22600950525418,0.692525928290342
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)","ITM","OTM1","OTM1 vs ITM",1.5522681e-05,1.16779423333333e-05,1.36812e-05,1.088415e-05,30,30,-3.84473866666667e-06,-0.410588602138568,0.061451911011257,0.207570899415801,"PWY-6470","peptidoglycan biosynthesis V (&beta;-lactam resistance)","Not significant",1.21146460702099,0.682833532851564
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)","ITM","OTM1","OTM1 vs ITM",5.179245e-05,3.44071266666667e-05,4.07113e-05,3.404235e-05,30,30,-1.73853233333333e-05,-0.590032980242748,0.0635326507348074,0.209933976341103,"PWY-7400","L-arginine biosynthesis IV (archaebacteria)","Not significant",1.19700302447768,0.677917268214477
"PWY-6305: superpathway of putrescine biosynthesis","ITM","OTM1","OTM1 vs ITM",1.14110096666667e-05,9.3993506e-06,1.126695e-05,7.5274e-06,30,30,-2.01165906666667e-06,-0.279790753963643,0.0635326507348074,0.209933976341103,"PWY-6305","superpathway of putrescine biosynthesis","Not significant",1.19700302447768,0.677917268214477
"PWY-5913: partial TCA cycle (obligate autotrophs)","ITM","OTM1","OTM1 vs ITM",4.85261073333333e-05,3.53250803333333e-05,4.603085e-05,1.980575e-05,30,30,-1.3201027e-05,-0.458067182210319,0.0678688608194432,0.21949078392671,"PWY-5913","partial TCA cycle (obligate autotrophs)","Not significant",1.16832944039129,0.658583710382236
"PWY-6936: seleno-amino acid biosynthesis (plants)","ITM","OTM1","OTM1 vs ITM",6.04414466666667e-05,4.46145763333333e-05,5.073825e-05,3.740325e-05,30,30,-1.58268703333333e-05,-0.43802220515881,0.0678688608194432,0.21949078392671,"PWY-6936","seleno-amino acid biosynthesis (plants)","Not significant",1.16832944039129,0.658583710382236
"PWY-7392: taxadiene biosynthesis (engineered)","ITM","OTM1","OTM1 vs ITM",1.8976671e-05,1.46017933333333e-05,1.888365e-05,1.296925e-05,30,29,-4.37487766666667e-06,-0.378079084699188,0.0701265940712882,0.224405101028122,"PWY-7392","taxadiene biosynthesis (engineered)","Not significant",1.15411725352907,0.648967275209163
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)","ITM","OTM1","OTM1 vs ITM",4.77163166666667e-06,3.10514543333333e-06,4.3091e-06,2.38311e-06,27,26,-1.66648623333333e-06,-0.61980561574743,0.0722234772700197,0.224729195054775,"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)","Not significant",1.14132160587282,0.648340503782217
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)","ITM","OTM1","OTM1 vs ITM",4.77163166666667e-06,3.10514543333333e-06,4.3091e-06,2.38311e-06,27,26,-1.66648623333333e-06,-0.61980561574743,0.0722234772700197,0.224729195054775,"PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)","Not significant",1.14132160587282,0.648340503782217
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)","ITM","OTM1","OTM1 vs ITM",5.36513966666667e-05,3.92108766666667e-05,4.208635e-05,2.48168e-05,30,30,-1.444052e-05,-0.452360840147838,0.0724455957742367,0.224729195054775,"PWY-5384","sucrose degradation IV (sucrose phosphorylase)","Not significant",1.13998801169848,0.648340503782217
"HISTSYN-PWY: L-histidine biosynthesis","ITM","OTM1","OTM1 vs ITM",0.000251520066666667,0.000225371166666667,0.0002484745,0.0002232175,30,30,-2.61489e-05,-0.158370485454153,0.0748270080049043,0.229771822560514,"HISTSYN-PWY","L-histidine biosynthesis","Not significant",1.12594161991045,0.638703230899241
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)","ITM","OTM1","OTM1 vs ITM",3.35899e-06,2.5081752e-06,2.811885e-06,2.421075e-06,27,22,-8.508148e-07,-0.421374805427811,0.0763674057699801,0.23030079100509,"HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)","Not significant",1.11709196229669,0.637704570378991
"PWY-6165: chorismate biosynthesis II (archaea)","ITM","OTM1","OTM1 vs ITM",9.36105033333333e-05,8.00112966666667e-05,9.5842e-05,7.80656e-05,30,30,-1.35992066666667e-05,-0.226466444767823,0.0772719759293395,0.23030079100509,"PWY-6165","chorismate biosynthesis II (archaea)","Not significant",1.11197798222583,0.637704570378991
