# Pathway	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a10	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a11	a120	a12	a13	a14	a15	a16	a17	a18	a19	a1	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a2	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a3	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a4	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a5	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a6	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a7	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a8	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99	a9
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.000588738	0.000654727	0.000628857	0.000600287	0.000580326	0.000645833	0.000548746	0.000658208	0.000627413	0.000609668	0.00048999	0.000575376	0.000617635	0.000617508	0.000613245	0.000500509	0.000622572	0.000619518	0.000564984	0.000602239	0.000651336	0.000538978	0.000635235	0.000560949	0.000500136	0.000610972	0.000652432	0.000564093	0.000473674	0.000459498	0.00051725	0.000604621	0.000534595	0.000602253	0.000540577	0.000662942	0.000680733	0.000462763	0.000687031	0.000546391	0.000690902	0.000707284	0.000711922	0.000569659	0.000603842	0.000555488	0.0005238	0.000600183	0.000587781	0.000587856	0.000619869	0.000587752	0.000652713	0.0015235	0.000632762	0.000646193	0.000619722	0.000552866	0.000560325	0.000592549	0.000599903	0.000564234	0.000603775	0.000540766	0.000543325	0.000636084	0.000560301	0.000647902	0.0006084	0.000576288	0.000614273	0.000705524	0.000611518	0.000654826	0.000582043	0.000746925	0.000631492	0.000594414	0.000663216	0.000610846	0.000592153	0.000609678	0.000628409	0.00065208	0.000552198	0.000580394	0.000747289	0.000598721	0.000649259	0.000665607	0.000627293	0.000614576	0.000584235	0.000676209	0.000563369	0.000597286	0.000650166	0.000566621	0.000651769	0.000578846	0.000762286	0.000711305	0.000649687	0.000695025	0.000634411	0.000595499	0.000623417	0.000585047	0.000581136	0.000640723	0.000621247	0.00056391	0.000589999	0.00069816	0.000624349	0.000573553	0.000578662	0.000573748	0.000549539	0.00073905
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	4.23432e-06	1.5515e-05	5.42198e-06	6.2883e-06	5.8985e-06	3.36842e-06	7.60296e-06	1.26967e-05	2.36209e-06	8.30585e-06	7.96736e-07	3.93944e-06	0	0	1.12733e-05	1.80191e-06	2.59594e-06	3.28194e-06	0	0	3.47817e-06	8.68722e-06	1.06893e-06	1.14787e-06	3.39025e-05	8.03219e-07	2.64514e-05	2.76475e-05	1.86925e-06	1.514e-05	3.03172e-06	6.25793e-06	2.65187e-06	3.50683e-06	1.09922e-06	4.67505e-05	9.49645e-06	0	1.49027e-05	3.55799e-06	1.63188e-05	5.39942e-06	1.88425e-05	2.50014e-06	7.23322e-07	1.16637e-06	0	9.38558e-06	6.92916e-06	3.25536e-06	2.91629e-06	8.61068e-06	7.84275e-06	2.27373e-05	1.53462e-06	3.74616e-06	5.35866e-06	4.65147e-06	5.18667e-06	5.39846e-06	5.67924e-06	1.12221e-06	9.52402e-06	0	8.59275e-06	5.36296e-06	2.44115e-06	0	1.31715e-05	5.26744e-06	9.84333e-06	0	1.15859e-05	3.45371e-06	0	7.65381e-06	1.60549e-06	4.23322e-06	1.22459e-06	1.78975e-06	2.77891e-06	2.63498e-06	1.79236e-06	4.91261e-06	6.1278e-06	3.76846e-06	3.51799e-05	2.6339e-06	1.53879e-06	1.42987e-06	1.27051e-05	3.52875e-06	1.8607e-06	0	9.15193e-07	8.17657e-06	3.66874e-06	1.44667e-05	2.20654e-06	0	3.69489e-06	6.13215e-06	6.60286e-06	3.92906e-06	1.51479e-06	1.82169e-06	5.08297e-06	1.10811e-06	1.42024e-05	0	6.32485e-06	5.67487e-06	8.05212e-06	1.25791e-05	6.06599e-06	2.50269e-06	1.42138e-06	5.32846e-06	1.83116e-05	9.25969e-06
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	2.06668e-06	2.70321e-06	0	0	0	0	1.07614e-06	4.93664e-06	0	0	0	0	0	0	2.03899e-06	0	2.64883e-06	0	0	0	0	3.9669e-06	0	0	1.84972e-05	0	1.53354e-05	9.21745e-06	0	2.10668e-06	3.35676e-06	1.60113e-06	0	2.61136e-06	0	1.98987e-05	0	0	8.18102e-06	0	4.83171e-06	2.53241e-06	2.45962e-06	0	0	0	0	3.2462e-06	0	0	0	3.34018e-06	0	5.65914e-06	0	0	0	0	0	1.6041e-06	0	0	0	0	6.0715e-06	0	0	0	0	0	2.58635e-06	0	0	0	0	3.50793e-06	1.26301e-06	1.83747e-06	1.33503e-06	0	0	0	0	0	0	1.65302e-06	9.16314e-06	0	0	0	1.68226e-06	0	0	0	0	0	0	3.11443e-06	0	0	0	0	0	1.68435e-06	0	1.00536e-06	0	0	0	0	0	0	2.54907e-06	5.68687e-06	2.89219e-06	1.93477e-06	0	1.20546e-06	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	3.21725e-06	0	0	0	0	0	0	6.92746e-06	0	0	0	0	0	0	3.68326e-06	0	0	0	0	0	0	6.23663e-06	0	0	2.58259e-05	0	1.8996e-05	1.49999e-05	0	3.90997e-06	3.53828e-06	0	0	0	0	2.83797e-05	0	0	1.20806e-05	0	8.03274e-06	3.98104e-06	4.5155e-06	0	0	0	0	5.36341e-06	0	0	0	4.2533e-06	0	0	0	0	0	0	0	2.72624e-06	0	0	0	0	8.46659e-06	0	0	0	0	0	0	0	0	0	0	4.97024e-06	1.74294e-06	2.94965e-06	0	0	0	0	0	0	0	2.63834e-06	1.52122e-05	0	0	0	0	0	0	0	0	0	0	4.05977e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54334e-06	8.47415e-06	4.52396e-06	2.68513e-06	0	2.1415e-06	0	0
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	9.55886e-06	4.29098e-06	3.24593e-06	2.33958e-06	2.74096e-06	2.70942e-06	2.39604e-06	2.53492e-06	3.37706e-06	2.3598e-06	3.28043e-06	3.27552e-06	2.51001e-06	2.48346e-06	2.43477e-06	1.91996e-06	3.25235e-06	2.10877e-06	1.84026e-06	2.22913e-06	3.96843e-06	3.9392e-06	3.1942e-06	2.70944e-06	1.95066e-06	3.4723e-06	3.01966e-06	6.51448e-06	1.55018e-06	1.37532e-06	1.72346e-06	4.30166e-06	2.23339e-06	2.32906e-06	2.37995e-06	3.54531e-06	3.94568e-06	2.30553e-06	5.54918e-06	4.4725e-06	6.61643e-06	4.66972e-06	6.14205e-06	2.69883e-06	3.17198e-06	1.22601e-06	2.49326e-06	1.58903e-06	6.09483e-06	2.16852e-06	2.30024e-06	3.59122e-06	2.0213e-06	2.61558e-06	2.58484e-06	3.44317e-06	2.70884e-06	3.61484e-06	2.64356e-06	5.88214e-06	3.1283e-06	1.63939e-06	4.57317e-06	2.18326e-06	1.88656e-06	2.70036e-06	1.8272e-06	2.65161e-06	2.80881e-06	2.5141e-06	3.05119e-06	4.43901e-06	5.07908e-06	3.19459e-06	1.90237e-06	7.33764e-06	2.20981e-06	2.31039e-06	1.97851e-06	3.34268e-06	2.53928e-06	2.67798e-06	2.22408e-06	4.44783e-06	1.76705e-06	5.39417e-06	3.66874e-06	3.25832e-06	3.11635e-06	2.01508e-06	2.56831e-06	1.91219e-06	2.26392e-06	2.70086e-06	3.23334e-06	4.36213e-06	4.31501e-06	2.26063e-06	1.83431e-06	2.69055e-06	5.42575e-06	3.09985e-06	3.24162e-06	4.20979e-06	2.34612e-06	2.92075e-06	2.0213e-06	3.80568e-06	1.80177e-06	2.03511e-06	2.72125e-06	2.22652e-06	2.25004e-06	7.48832e-06	3.19256e-06	2.08178e-06	2.27882e-06	2.80504e-06	4.09485e-05	4.58244e-06
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	5.04568e-06	0	0	3.43538e-07	1.21761e-06	0	1.07065e-06	0	0	8.05389e-07	0	0	0	0	5.22245e-07	0	5.76594e-07	0	0	0	0	0	0	0	3.59486e-06	0	4.54369e-06	3.65231e-06	3.97414e-07	2.11146e-06	6.3689e-07	0	0	6.33325e-07	1.3711e-06	6.86555e-06	9.54286e-07	0	3.80006e-06	0	3.51391e-06	0	1.4251e-06	5.15655e-07	0	0	0	1.21192e-06	0	5.82434e-07	5.34877e-07	1.27297e-06	0	3.19926e-06	0	0	0	0	0	1.92108e-06	0	0	1.30584e-06	0	1.25366e-06	0	0	0	0	0	0	0	2.97223e-06	0	0	1.52559e-06	0	0	0	1.32594e-06	0	0	0	9.61508e-07	0	0	5.19378e-06	0	0	0	1.0054e-06	0	0	0	0	4.36978e-06	0	7.55072e-07	0	0	0	0	0	5.54814e-07	0	0	0	9.62899e-07	0	4.15294e-07	5.63227e-07	1.52598e-06	0	3.01462e-06	2.10789e-06	0	0	1.22099e-06	4.99448e-06	0
PWY-6305: superpathway of putrescine biosynthesis	1.29768e-05	4.38808e-07	1.52404e-05	1.10496e-05	6.94372e-06	4.68239e-06	7.62875e-06	6.98813e-06	1.99464e-05	1.45648e-05	6.93235e-06	1.15101e-05	1.0009e-05	9.06599e-06	1.20699e-05	6.31026e-06	7.17862e-06	3.70897e-06	4.08395e-06	2.94854e-06	2.21291e-06	1.1142e-05	3.70116e-06	7.14821e-06	3.08513e-05	1.92827e-06	1.25432e-05	2.05383e-05	1.35962e-05	1.49379e-05	1.62234e-05	1.23887e-05	9.59357e-06	9.89052e-06	1.07166e-05	2.62167e-05	4.05642e-06	4.58391e-06	5.62668e-06	1.1297e-05	4.80533e-06	3.95425e-06	6.30926e-06	8.33668e-06	1.93954e-05	1.22074e-05	7.62315e-06	1.11594e-05	1.33495e-05	1.3907e-05	9.13263e-06	9.43504e-06	2.44704e-06	3.84811e-06	8.3422e-06	4.1262e-06	7.42605e-06	6.27983e-06	1.216e-05	7.28307e-06	6.13489e-06	1.12226e-05	1.65996e-05	1.75522e-05	1.28573e-05	6.79498e-06	1.23767e-05	9.0193e-06	1.11746e-05	1.28929e-05	1.00038e-05	2.69395e-06	1.24416e-05	9.01353e-06	6.19714e-06	5.52353e-06	9.19379e-06	1.56033e-05	8.57812e-06	1.03805e-05	1.30295e-05	7.22526e-06	1.41941e-05	1.46046e-05	9.88251e-06	1.30001e-05	1.92237e-05	9.27127e-06	1.00055e-05	1.2897e-05	1.51724e-05	3.8954e-06	5.93801e-06	1.59447e-05	6.09562e-06	2.21539e-06	2.94868e-06	9.99241e-06	1.22953e-05	7.80929e-06	3.41704e-06	8.98018e-06	6.98405e-06	1.82343e-06	6.99645e-06	7.19484e-06	5.66048e-06	4.12048e-06	4.29459e-06	7.98626e-06	7.00505e-06	1.25101e-05	9.67061e-06	1.26713e-05	2.03428e-05	1.13745e-05	9.85261e-06	1.25825e-05	1.0576e-05	3.98589e-06
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95749e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)"	4.38101e-06	0	0	0	4.93655e-07	0	8.27524e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89508e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93623e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47205e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23472e-05	0
PWY-6313: serotonin degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55748e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	0.000118045	0.000126151	0.000130658	0.000126064	0.000135334	0.000169409	0.000118373	0.000154328	0.000135959	0.000106202	0.000117803	0.000120707	0.00012443	0.000128464	0.000141759	9.75916e-05	0.000125121	0.000159647	0.000157566	0.000163784	0.000141129	0.0001214	0.000135815	9.52868e-05	0.000115481	0.000101243	9.60439e-05	0.000112454	0.00011526	0.000102486	0.000101416	0.000111853	9.95496e-05	0.000113831	9.31024e-05	0.000143023	0.000112297	0.000105385	0.000158118	0.000135063	0.000137831	0.000140374	0.000122037	0.000122837	0.000135348	8.9895e-05	0.00010663	0.000116063	0.000147896	0.000116749	0.000132362	0.000118174	0.000122417	7.06309e-05	0.000133063	0.000154139	0.000155846	0.000117991	0.000105523	0.000111405	0.000111223	0.000111924	0.000146054	0.000121227	9.90101e-05	0.0001264	0.000122498	0.000126668	0.000154838	0.000124048	0.00013683	0.000118088	0.000156994	0.000135641	0.000121282	0.000121262	0.000148425	0.000117691	0.000119793	0.000118193	0.000125633	0.000119967	0.000124248	0.000105197	0.000133762	0.000138743	0.000104711	0.000119332	0.000109313	0.000130403	0.000121313	0.000132974	0.000135012	0.000132807	0.000106172	0.000108174	0.000119425	9.44564e-05	0.000138079	9.95215e-05	0.000128152	0.000125674	0.000155223	0.000118732	0.000132628	0.00014037	0.000150588	0.000102907	0.000108836	0.000128677	0.000126288	0.000124389	0.000141775	0.000152956	0.000126708	0.000115695	0.000118701	9.80765e-05	0.000152842	0.000146729
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12729e-07	0	0	0	0	0	3.79986e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41588e-07	0	0	0	0	0	0	0	0	0	0	0	0	2.19151e-07	0	0	0	0	0	0	0	0	0	1.72252e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6328: L-lysine degradation X	0	0	0	0	2.32928e-07	0	0	0	0	3.64633e-07	0	0	0	0	1.35461e-07	0	0	0	0	0	0	0	0	0	2.49085e-06	0	2.97607e-06	1.46274e-06	0	3.85149e-07	0	0	0	0	0	3.91093e-06	2.95281e-07	0	9.97559e-07	0	2.29499e-07	0	1.88688e-07	0	0	0	0	3.5369e-07	0	0	0	0	0	9.46904e-07	0	0	0	0	0	0	0	0	9.6503e-07	0	3.64746e-07	0	0	0	0	0	0	0	1.75174e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82279e-06	0	0	0	0	0	0	0	0	0	0	1.03676e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48994e-07	3.32776e-07	0	0	0	0	0
PWY-6349: CDP-archaeol biosynthesis	3.55141e-05	1.21936e-06	3.90442e-05	4.12208e-05	1.12172e-05	5.22058e-05	1.7048e-05	2.78502e-05	5.3841e-05	6.06514e-05	2.82287e-05	3.55208e-05	3.15987e-05	5.95869e-05	4.39591e-05	3.40337e-05	4.34795e-05	2.86081e-05	2.7656e-05	2.2583e-05	1.11671e-06	4.69601e-05	3.04214e-05	3.98325e-05	7.07069e-05	4.23256e-06	7.58387e-06	4.33741e-05	2.52276e-05	5.78184e-05	6.0447e-05	4.22953e-05	6.09199e-05	3.93113e-05	5.48719e-05	3.40732e-06	6.53232e-06	6.07343e-05	8.06881e-06	3.46449e-05	6.39756e-06	0	3.66508e-06	3.17451e-05	2.4747e-05	4.36183e-05	1.47078e-05	4.35238e-05	4.69827e-05	3.36835e-05	1.71999e-05	3.52831e-05	1.06316e-05	3.77324e-06	1.99266e-05	8.04838e-06	1.93161e-05	3.48506e-05	3.11166e-05	1.0472e-05	1.69071e-05	7.36477e-05	3.90836e-05	2.38743e-05	4.58803e-05	1.53791e-05	4.39365e-05	3.99767e-05	3.70901e-05	3.57677e-05	4.59068e-05	5.26364e-06	4.32866e-05	1.62475e-05	2.71707e-05	1.04919e-05	3.22791e-05	3.1621e-05	3.26409e-05	2.70084e-05	2.25764e-05	4.64915e-05	3.10564e-05	2.37148e-05	3.88049e-05	4.35285e-05	4.42726e-06	3.73289e-05	3.20014e-05	3.7117e-05	2.96057e-05	2.47324e-05	3.85302e-05	4.95143e-05	1.15357e-05	3.96534e-06	8.30181e-06	3.94947e-05	2.63315e-05	3.0316e-05	7.81653e-06	3.75154e-05	3.08491e-05	3.59821e-06	2.05929e-05	4.11241e-05	2.78924e-05	2.04401e-05	1.77033e-05	6.70236e-05	1.98333e-05	3.85002e-05	1.53117e-05	1.63518e-05	4.50051e-05	3.62286e-05	4.61827e-05	5.11657e-05	3.18639e-05	8.67541e-06
PWY-6350: archaetidylinositol biosynthesis	2.8036e-05	6.33827e-07	3.41845e-05	3.57302e-05	8.22568e-06	4.34347e-05	1.31935e-05	2.39236e-05	4.72989e-05	5.08095e-05	2.40963e-05	3.02242e-05	2.55735e-05	5.25813e-05	3.78113e-05	2.67127e-05	3.61167e-05	2.25573e-05	2.2317e-05	1.80147e-05	6.67468e-07	3.87856e-05	2.4501e-05	2.97869e-05	6.49655e-05	3.33188e-06	5.82336e-06	3.82128e-05	2.03117e-05	4.66574e-05	5.00938e-05	3.89122e-05	4.99488e-05	3.11983e-05	4.94374e-05	2.40814e-06	5.17427e-06	4.8599e-05	6.32466e-06	2.96994e-05	4.69424e-06	0	3.0779e-06	2.50327e-05	2.03908e-05	4.06979e-05	1.15471e-05	3.87413e-05	4.08593e-05	2.89958e-05	1.45926e-05	2.82461e-05	9.51703e-06	2.82243e-06	1.6123e-05	5.30093e-06	1.59413e-05	3.00813e-05	2.65753e-05	8.10085e-06	1.53632e-05	6.51218e-05	3.41048e-05	1.90911e-05	3.7023e-05	1.29355e-05	3.58027e-05	3.56273e-05	3.26293e-05	3.13382e-05	3.94705e-05	3.33667e-06	3.52408e-05	1.28367e-05	2.04997e-05	8.99463e-06	2.79671e-05	2.64241e-05	2.95235e-05	2.38261e-05	1.92675e-05	3.8099e-05	2.77407e-05	1.99721e-05	3.43529e-05	3.66696e-05	4.12081e-06	3.14184e-05	2.77938e-05	3.066e-05	2.60287e-05	2.24934e-05	3.4373e-05	4.49126e-05	9.64526e-06	3.34756e-06	6.70518e-06	3.24992e-05	2.2233e-05	2.39695e-05	6.10356e-06	3.44481e-05	2.45581e-05	2.31696e-06	1.67441e-05	3.40326e-05	2.52727e-05	1.50556e-05	1.44774e-05	5.74252e-05	1.62358e-05	3.40578e-05	1.30794e-05	1.45542e-05	3.72978e-05	3.13503e-05	3.95689e-05	4.2591e-05	2.67144e-05	7.58873e-06
PWY-6353: purine nucleotides degradation II (aerobic)	1.47224e-05	1.03304e-05	7.43781e-06	8.19867e-06	1.05918e-05	1.23897e-05	1.49299e-05	7.16511e-06	1.54519e-05	1.39559e-05	1.26527e-05	1.64009e-05	1.03918e-05	1.34422e-05	2.08707e-05	8.30377e-06	1.57599e-05	8.25882e-06	8.35787e-06	2.13235e-06	7.07146e-06	1.42067e-05	6.1405e-06	1.31629e-05	4.50149e-05	9.66125e-06	2.53892e-05	1.90901e-05	1.03023e-05	1.42731e-05	1.05779e-05	1.3539e-05	2.58917e-05	1.45673e-05	1.44486e-05	6.47376e-05	1.8832e-05	7.52198e-06	1.88574e-05	2.12395e-05	1.06164e-05	1.71569e-05	3.59424e-05	1.57168e-05	1.16614e-05	1.75131e-05	1.43118e-05	2.49291e-05	2.27101e-05	2.68477e-05	1.13685e-05	1.18824e-05	1.0761e-05	1.22173e-05	5.07334e-06	4.12984e-06	9.89269e-06	8.41264e-06	8.95559e-06	6.90748e-06	1.34658e-05	1.1293e-05	1.98822e-05	1.11005e-05	2.45733e-05	1.0814e-05	1.46074e-05	1.36472e-05	2.14855e-05	6.47307e-06	1.27566e-05	7.26738e-06	2.54805e-05	1.30624e-05	1.9954e-06	2.85862e-05	1.35381e-05	2.12018e-05	1.19855e-05	9.19977e-06	1.5258e-05	9.84165e-06	1.64444e-05	1.55156e-05	1.18259e-05	1.71398e-05	4.11834e-05	1.30443e-05	9.78714e-06	1.28173e-05	1.13752e-05	2.83326e-05	1.84312e-05	1.41362e-05	1.73315e-06	1.17699e-05	1.4732e-05	2.13368e-05	1.04819e-05	6.26512e-06	8.46096e-06	2.53498e-05	1.09051e-05	1.23267e-05	7.20386e-06	9.67933e-06	1.17512e-05	0	1.09895e-05	1.03641e-05	6.30735e-06	1.20631e-05	1.28098e-05	3.35704e-05	1.40488e-05	1.61936e-05	2.36354e-05	3.16502e-05	1.40556e-05	1.29716e-05
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.000221249	0.000268341	0.000171111	0.000187716	0.000175006	0.000237782	0.000169125	0.000212762	0.000175244	0.000180236	0.000177796	0.000203832	0.000203362	0.000207084	0.000207697	0.000144396	0.000223442	0.000235808	0.000218659	0.000226759	0.000242257	0.000194071	0.0002181	0.000227703	0.000185812	0.000261344	0.000289677	0.00021402	0.000159723	0.000159117	0.000210707	0.000290753	0.00022739	0.000252803	0.000240534	0.000270278	0.000296546	0.000161338	0.000336935	0.000255264	0.000363769	0.000288874	0.000361994	0.000304559	0.000215113	0.000261826	0.000176266	0.000271498	0.00028027	0.000231409	0.000219306	0.000216753	0.000273172	0.000351546	0.000167444	0.000224777	0.000229468	0.00022939	0.000157508	0.000225837	0.000251205	0.000166288	0.000224188	0.00014939	0.000273267	0.000250126	0.000189128	0.000191152	0.000245384	0.000169854	0.000218551	0.000285461	0.000271252	0.000217491	0.000191072	0.000332975	0.000236381	0.000182154	0.000291153	0.000178576	0.000204088	0.000215806	0.000239724	0.000211157	0.000234087	0.00026516	0.000378373	0.00019427	0.000209474	0.000222522	0.000165708	0.000247293	0.000235654	0.000196175	0.000132497	0.000198366	0.000242	0.000261409	0.000200094	0.000147164	0.000301848	0.000170425	0.000246468	0.000234243	0.000222943	0.000227199	0.000232816	0.000157977	0.000253574	0.000208613	0.000206425	0.000199885	0.000202858	0.000215766	0.000204041	0.000227643	0.000203744	0.000257696	0.00022095	0.000311271
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.000221735	0.00029628	0.000157563	0.00017967	0.000163421	0.000228166	0.000159982	0.000199758	0.000168479	0.000178298	0.000169952	0.000203298	0.00019896	0.000203106	0.000202965	0.000140701	0.000214646	0.000227632	0.000207185	0.000211799	0.000234866	0.000184747	0.000210104	0.000234941	0.000182696	0.000298625	0.000494961	0.00020785	0.0001545	0.00015488	0.000218851	0.0003379	0.000243683	0.000258982	0.000260115	0.000273512	0.000325973	0.000166722	0.000344199	0.000251614	0.000409101	0.000291217	0.000458842	0.000326835	0.000207263	0.000318673	0.000172523	0.000327583	0.000276176	0.000243074	0.000208361	0.000213997	0.000288173	0.00156115	0.000159116	0.000219525	0.000216476	0.000233339	0.000153354	0.000239323	0.000286335	0.000161777	0.000225145	0.000140858	0.000320514	0.000265245	0.000184725	0.000188224	0.00023364	0.000166485	0.000215177	0.000298787	0.000266343	0.000211904	0.000185113	0.000397895	0.000228369	0.000176312	0.000353065	0.000169942	0.000196783	0.000208669	0.000241765	0.000202558	0.000234287	0.000258786	0.00057108	0.000188397	0.000220939	0.000213628	0.000156048	0.000254061	0.000237275	0.000186911	0.000123375	0.000208855	0.000284976	0.000318681	0.000191802	0.000139567	0.000331649	0.00016283	0.000236471	0.000243106	0.000219324	0.000220532	0.000224034	0.000149253	0.00027546	0.00020605	0.000202281	0.000194621	0.000194498	0.000203936	0.000195958	0.000232109	0.000197117	0.000285652	0.000221604	0.000320682
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.000228639	0.000292344	0.000180344	0.000196431	0.000197483	0.000255543	0.000183247	0.000231406	0.000190585	0.000189956	0.000192633	0.00021251	0.000213549	0.000227006	0.000234081	0.000162189	0.000232152	0.000251249	0.000235543	0.000245654	0.000250232	0.000206663	0.000226299	0.000240285	0.000202936	0.000303806	0.000495659	0.000226551	0.000174933	0.000175866	0.000220492	0.000341461	0.000244531	0.000261306	0.000260056	0.000281912	0.000330983	0.000168827	0.000344478	0.000264565	0.000409424	0.000303106	0.000464273	0.000327237	0.000218994	0.000318488	0.000192673	0.000330619	0.000291587	0.00024587	0.0002271	0.000224	0.000292096	0.00159736	0.000179698	0.000229646	0.000251173	0.000235822	0.000175441	0.000238584	0.000289566	0.000181445	0.000244436	0.000162704	0.000321262	0.000269267	0.000202912	0.000204084	0.00025888	0.000198421	0.000235187	0.00029545	0.000285404	0.000226788	0.000201978	0.000403229	0.000246807	0.00019724	0.000358516	0.000194386	0.00021474	0.000227286	0.00025143	0.000219911	0.000242927	0.00026933	0.000578395	0.000204971	0.000225805	0.000240336	0.00017855	0.000256906	0.000248155	0.000201684	0.000142851	0.000209049	0.000285092	0.000321067	0.000215934	0.000155954	0.000327327	0.000183225	0.000252306	0.000239409	0.00023667	0.000235224	0.000243189	0.000166723	0.000279821	0.000222916	0.000215265	0.00021861	0.000220947	0.0002242	0.000219149	0.000236507	0.000217053	0.000284709	0.000228645	0.000319972
"PWY-6396: superpathway of 2,3-butanediol biosynthesis"	0	0	0	0	0	0	0	0	0	5.43097e-07	0	0	1.77474e-06	1.21453e-06	0	0	1.01178e-06	4.94946e-07	0	7.53878e-07	0	1.70287e-06	1.40852e-06	9.41911e-07	9.93661e-07	0	8.28813e-07	1.61288e-06	0	0	1.56644e-06	5.99081e-07	0	8.45283e-07	5.13728e-07	0	0	0	3.43935e-06	0	0	2.01956e-06	7.39376e-07	6.32018e-07	0	6.65531e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72586e-07	0	0	0	1.01932e-06	0	0	0	7.35885e-07	0	4.70244e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.80846e-07	0	0	9.882e-07	0	0	5.60486e-07	0	0	4.16994e-07	0	0	3.53787e-07	1.62895e-06	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	4.82229e-07	0	2.50873e-07	0	0	0	0	0	9.0887e-07	0	6.55937e-07	0	0	0	0	8.49021e-07	0	1.25773e-06	0	0	0	0	0	0	0	0	6.92226e-07	0	3.26873e-07	0	0	0	0	0	1.18569e-06	0	0	0	0	1.79836e-06	4.69863e-07	0	0	0	0	2.56292e-07	0	0	0	4.72923e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.75956e-07	0	0	1.11595e-06	0	0	0	8.90601e-07	0	0	1.18691e-06	0	9.34588e-07	0	0	0	0	0	0	0	1.0498e-06	0	0	0	0	1.55486e-06	0	6.01049e-07	0	0	0	0	7.40831e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	8.87108e-07	1.23969e-06	0	3.55805e-07	0	0	0	0
